Altium Designer Pick and Place Locations
D:\FT2232\Project Outputs for FT2232\Fabrication\PAP\FT2232D v1.0.0.csv

========================================================================================================================
File Design Information:

Date:       16/03/23
Time:       11:48
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"F2","FUSE","BottomLayer","R1206","-122.047","-471.457","0","FUSE"
"C6","1uF","BottomLayer","C0603","82.000","-26.000","225","1uF 25V X7R 0603"
"C4","1uF","BottomLayer","C0603","122.074","111.000","180","1uF 25V X7R 0603"
"C3","1uF","BottomLayer","C0603","269.409","-718.507","270","1uF 25V X7R 0603"
"C1","1uF","BottomLayer","C0603","55.246","-486.012","180","1uF 25V X7R 0603"
"U1","LDO","BottomLayer","TO-252AA_(DPAK)","45.669","-660.007","0","LDO"
"U3","FT2232D-REEL","TopLayer","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL","0.000","0.000","225",""
"C5","1uF","TopLayer","C0603","108.813","238.053","135","1uF 25V X7R 0603"
"C7","1uF","BottomLayer","C0603","-70.792","42.891","45","1uF 25V X7R 0603"
"C2","1uF","BottomLayer","C0603","262.113","314.264","270","1uF 25V X7R 0603"
"U2","96C46","BottomLayer","MSOP8","118.112","313.137","90","96C46"
"L1","BEAD","BottomLayer","L0402","70.885","570.866","180","INDUCTOR FERRITE BEAD 200mA 1 650mO 0402"
"R32","22R","TopLayer","R0603","359.012","-629.134","180","22R 5% 0603"
"R6","10k","TopLayer","R0603","-137.745","233.827","45","10k 0603"
"R3","470","TopLayer","R0603","-53.365","318.207","45","470"
"R31","22R","TopLayer","R0603","354.330","-529.134","180","22R 5% 0603"
"R9","22R","TopLayer","R0603","-354.331","-529.134","0","22R 5% 0603"
"R34","22R","TopLayer","R0603","354.330","570.865","180","22R 5% 0603"
"R29","22R","TopLayer","R0603","354.330","-329.134","180","22R 5% 0603"
"R30","22R","TopLayer","R0603","354.330","-429.134","180","22R 5% 0603"
"R7","1k5","BottomLayer","R0603","-113.925","124.208","225","10k 0603"
"R33","22R","TopLayer","R0603","359.012","-729.134","180","22R 5% 0603"
"R28","22R","TopLayer","R0603","354.330","-229.135","180","22R 5% 0603"
"R18","22R","TopLayer","R0603","-354.331","370.866","0","22R 5% 0603"
"R27","22R","TopLayer","R0603","354.330","-129.135","180","22R 5% 0603"
"R23","22R","TopLayer","R0603","354.330","270.865","180","22R 5% 0603"
"R14","22R","TopLayer","R0603","-354.331","-29.134","0","22R 5% 0603"
"R17","22R","TopLayer","R0603","-354.331","270.866","0","22R 5% 0603"
"R26","22R","TopLayer","R0603","354.330","-29.135","180","22R 5% 0603"
"R22","22R","TopLayer","R0603","354.330","370.865","180","22R 5% 0603"
"R13","22R","TopLayer","R0603","-354.331","-129.134","0","22R 5% 0603"
"R16","22R","TopLayer","R0603","-354.331","170.866","0","22R 5% 0603"
"R25","22R","TopLayer","R0603","354.330","70.865","180","22R 5% 0603"
"R21","22R","TopLayer","R0603","354.330","470.865","180","22R 5% 0603"
"R12","22R","TopLayer","R0603","-354.331","-229.134","0","22R 5% 0603"
"R15","22R","TopLayer","R0603","-354.331","70.866","0","22R 5% 0603"
"R24","22R","TopLayer","R0603","354.330","170.865","180","22R 5% 0603"
"R20","22R","TopLayer","R0603","-354.331","570.866","0","22R 5% 0603"
"R11","22R","TopLayer","R0603","-354.331","-329.134","0","22R 5% 0603"
"R10","22R","TopLayer","R0603","-354.331","-429.134","0","22R 5% 0603"
"R2","2k2","BottomLayer","R0603","-57.991","314.264","90","2k2"
"R19","22R","TopLayer","R0603","-354.331","470.866","0","22R 5% 0603"
"R1","10k","BottomLayer","R0603","66.935","403.264","0","10k 0603"
"P1","Header 15","TopLayer","HDR1X15","-472.441","-129.134","270","Header, 15-Pin"
"P2","Header 15","TopLayer","HDR1X15","472.441","-129.134","270","Header, 15-Pin"
"F1","FUSE","BottomLayer","R1206","168.070","512.880","0","FUSE"
"J1","MICROQTJ","TopLayer","MICRO-USB-SMD_MICROQTJ","0.000","477.259","180",""
"X1","6MHZ","BottomLayer","CRYSTAL_3.2x2.5mm","284.641","141.485","90","CRYSTAL 6MHZ 10PF SMD"
"R8","22R","TopLayer","R0603","-354.331","-629.134","0","22R 5% 0603"
"R5","22R","BottomLayer","R0603","-237.000","251.264","90","22R 5% 0603"
"R4","22R","BottomLayer","R0603","-171.372","251.264","90","22R 5% 0603"
"C9","18pF","BottomLayer","C0402","205.642","174.485","90","18pF 50V 0402"
"C8","18pF","BottomLayer","C0402","205.642","95.485","90","18pF 50V 0402"
